id,formaleducation,jobsearchstatus,age
797,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)","Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
798,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",I am actively looking for a job,18 - 24 years old
799,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)","Iâ€™m not actively looking, but I am open to new opportunities",35 - 44 years old
800,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",I am actively looking for a job,25 - 34 years old
801,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",I am actively looking for a job,18 - 24 years old
802,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",I am actively looking for a job,25 - 34 years old
804,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)","Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
805,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",I am actively looking for a job,25 - 34 years old
806,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)","Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
807,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",I am actively looking for a job,25 - 34 years old
808,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)","Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
809,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",I am actively looking for a job,25 - 34 years old
810,Some college/university study without earning a degree,I am actively looking for a job,35 - 44 years old
811,Some college/university study without earning a degree,I am actively looking for a job,25 - 34 years old
812,Some college/university study without earning a degree,I am not interested in new job opportunities,25 - 34 years old
813,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",35 - 44 years old
814,Some college/university study without earning a degree,I am actively looking for a job,25 - 34 years old
815,Some college/university study without earning a degree,I am not interested in new job opportunities,25 - 34 years old
818,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",35 - 44 years old
819,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
821,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",45 - 54 years old
822,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
823,Some college/university study without earning a degree,I am not interested in new job opportunities,25 - 34 years old
825,Some college/university study without earning a degree,I am actively looking for a job,35 - 44 years old
826,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
827,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",35 - 44 years old
828,Some college/university study without earning a degree,I am not interested in new job opportunities,25 - 34 years old
829,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
830,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
831,Some college/university study without earning a degree,I am not interested in new job opportunities,35 - 44 years old
832,Some college/university study without earning a degree,I am actively looking for a job,35 - 44 years old
833,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",45 - 54 years old
834,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",35 - 44 years old
835,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
836,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
837,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
839,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
840,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
841,Some college/university study without earning a degree,I am actively looking for a job,25 - 34 years old
842,Some college/university study without earning a degree,I am actively looking for a job,25 - 34 years old
843,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
845,Some college/university study without earning a degree,I am not interested in new job opportunities,18 - 24 years old
846,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
847,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",35 - 44 years old
848,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
850,Some college/university study without earning a degree,I am not interested in new job opportunities,25 - 34 years old
851,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
852,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
853,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",35 - 44 years old
856,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",55 - 64 years old
857,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",35 - 44 years old
859,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
861,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",45 - 54 years old
863,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
864,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
866,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
868,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
869,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
870,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
871,Some college/university study without earning a degree,I am not interested in new job opportunities,55 - 64 years old
872,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
874,Some college/university study without earning a degree,I am actively looking for a job,25 - 34 years old
875,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
878,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
879,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
880,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
882,Some college/university study without earning a degree,I am actively looking for a job,25 - 34 years old
883,Some college/university study without earning a degree,I am actively looking for a job,45 - 54 years old
884,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
885,Some college/university study without earning a degree,I am actively looking for a job,35 - 44 years old
886,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
887,Some college/university study without earning a degree,I am actively looking for a job,25 - 34 years old
888,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
889,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
891,Some college/university study without earning a degree,I am actively looking for a job,25 - 34 years old
892,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",35 - 44 years old
893,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
894,Some college/university study without earning a degree,I am actively looking for a job,Under 18 years old
895,Some college/university study without earning a degree,I am actively looking for a job,35 - 44 years old
896,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
897,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
899,Some college/university study without earning a degree,I am actively looking for a job,25 - 34 years old
900,Some college/university study without earning a degree,I am actively looking for a job,25 - 34 years old
901,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
902,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
903,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
904,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",25 - 34 years old
905,Some college/university study without earning a degree,"Iâ€™m not actively looking, but I am open to new opportunities",18 - 24 years old
907,Some college/university study without earning a degree,I am actively looking for a job,18 - 24 years old
